Time,MSE_mean,MSE_std,MSE_wass_dist,std_MSE_mean,std_MSE_std,std_MSE_wass
0.73,0.0029237692258453954,0.09212067061383371,0.18615222438766407,8.00102385429274e-06,0.00134342467926321,0.005263865504418975
2.29,0.0014934102111101417,0.006790052668640362,0.03386110436953643,2.6089094472347355e-06,7.391693729457632e-05,0.0007566575980344358
6.76,0.0010793088481198772,0.004884750588716179,0.027518477530071462,1.9115490601609823e-06,3.085326613842172e-05,0.0006208852251497994
13.89,0.0013030449461914426,0.005340122717704431,0.03127784891702923,2.2840449774185165e-06,4.394516725642489e-05,0.0007576213863625674
27.45,0.0015092049075745755,0.005502452386430766,0.033613841327141195,3.083221964912043e-06,3.589323624455668e-05,0.0009749914555415044
